"","origin","destination"
"462","FLL","MCO"
"465","FLL","TPA"
"478","MCO","FLL"
"503","TPA","FLL"
"997","LAS","LAX"
"998","LAX","LAS"
"3572","ATL","MSP"
"3594","MSP","ATL"
"4699","ATL","CLT"
"4700","ATL","DFW"
"4702","ATL","MIA"
"4703","ATL","ORD"
"4704","ATL","PHL"
"4705","ATL","PHX"
"4792","BOS","CLT"
"4794","BOS","DCA"
"4795","BOS","DFW"
"4796","BOS","JFK"
"4797","BOS","LAX"
"4802","BOS","MIA"
"4804","BOS","ORD"
"4805","BOS","PDX"
"4806","BOS","PHL"
"4807","BOS","PHX"
"4811","BOS","SAN"
"4812","BOS","SEA"
"4833","BWI","CLT"
"4834","BWI","DFW"
"4835","BWI","JFK"
"4837","BWI","MIA"
"4838","BWI","ORD"
"4839","BWI","PHL"
"4840","BWI","PHX"
"4894","CLT","ATL"
"4902","CLT","BOS"
"4905","CLT","BWI"
"4921","CLT","DCA"
"4922","CLT","DEN"
"4923","CLT","DFW"
"4925","CLT","DTW"
"4931","CLT","FLL"
"4945","CLT","IAD"
"4946","CLT","IAH"
"4951","CLT","JFK"
"4952","CLT","LAS"
"4953","CLT","LAX"
"4962","CLT","MCO"
"4968","CLT","MIA"
"4972","CLT","MSP"
"4978","CLT","ORD"
"4981","CLT","PDX"
"4984","CLT","PHL"
"4985","CLT","PHX"
"4997","CLT","SAN"
"5002","CLT","SEA"
"5003","CLT","SFO"
"5007","CLT","SLC"
"5015","CLT","TPA"
"5082","DCA","BOS"
"5089","DCA","CLT"
"5094","DCA","DFW"
"5096","DCA","DTW"
"5098","DCA","FLL"
"5109","DCA","JFK"
"5110","DCA","LAS"
"5111","DCA","LAX"
"5115","DCA","MCO"
"5118","DCA","MIA"
"5119","DCA","MSP"
"5125","DCA","ORD"
"5128","DCA","PDX"
"5129","DCA","PHL"
"5130","DCA","PHX"
"5138","DCA","SAN"
"5145","DCA","TPA"
"5152","DEN","CLT"
"5153","DEN","DFW"
"5154","DEN","LAX"
"5156","DEN","MIA"
"5157","DEN","ORD"
"5158","DEN","PHL"
"5159","DEN","PHX"
"5160","DEN","SEA"
"5167","DFW","ATL"
"5176","DFW","BOS"
"5180","DFW","BWI"
"5190","DFW","CLT"
"5202","DFW","DCA"
"5203","DFW","DEN"
"5206","DFW","DTW"
"5213","DFW","FLL"
"5234","DFW","IAD"
"5235","DFW","IAH"
"5241","DFW","JFK"
"5243","DFW","LAS"
"5245","DFW","LAX"
"5260","DFW","MCO"
"5266","DFW","MIA"
"5273","DFW","MSP"
"5283","DFW","ORD"
"5287","DFW","PDX"
"5288","DFW","PHL"
"5289","DFW","PHX"
"5307","DFW","SAN"
"5312","DFW","SEA"
"5313","DFW","SFO"
"5321","DFW","SLC"
"5329","DFW","TPA"
"5362","DTW","CLT"
"5363","DTW","DCA"
"5364","DTW","DFW"
"5366","DTW","MIA"
"5367","DTW","ORD"
"5368","DTW","PHL"
"5369","DTW","PHX"
"5428","FLL","CLT"
"5429","FLL","DCA"
"5430","FLL","DFW"
"5431","FLL","ORD"
"5433","FLL","PHL"
"5434","FLL","PHX"
"5544","IAD","CLT"
"5545","IAD","DFW"
"5547","IAD","LAX"
"5549","IAD","MIA"
"5550","IAH","CLT"
"5551","IAH","DFW"
"5553","IAH","LAX"
"5555","IAH","MIA"
"5556","IAH","ORD"
"5557","IAH","PHL"
"5558","IAH","PHX"
"5599","JFK","BOS"
"5600","JFK","BWI"
"5604","JFK","CLT"
"5608","JFK","DCA"
"5609","JFK","DFW"
"5621","JFK","LAS"
"5622","JFK","LAX"
"5628","JFK","MCO"
"5629","JFK","MIA"
"5632","JFK","ORD"
"5636","JFK","PHX"
"5639","JFK","SAN"
"5641","JFK","SEA"
"5642","JFK","SFO"
"5647","JFK","TPA"
"5675","LAS","CLT"
"5676","LAS","DCA"
"5677","LAS","DFW"
"5678","LAS","JFK"
"5682","LAS","MIA"
"5683","LAS","ORD"
"5684","LAS","PHL"
"5685","LAS","PHX"
"5697","LAX","BOS"
"5698","LAX","CLT"
"5700","LAX","DCA"
"5701","LAX","DEN"
"5702","LAX","DFW"
"5711","LAX","IAD"
"5712","LAX","IAH"
"5714","LAX","JFK"
"5721","LAX","MCO"
"5725","LAX","MIA"
"5732","LAX","ORD"
"5734","LAX","PDX"
"5735","LAX","PHL"
"5736","LAX","PHX"
"5744","LAX","SAN"
"5745","LAX","SEA"
"5746","LAX","SFO"
"5749","LAX","SLC"
"5954","MCO","CLT"
"5955","MCO","DCA"
"5956","MCO","DFW"
"5958","MCO","JFK"
"5959","MCO","LAX"
"5961","MCO","MIA"
"5962","MCO","ORD"
"5963","MCO","PHL"
"5964","MCO","PHX"
"5965","MCO","SAN"
"5966","MCO","SEA"
"6004","MIA","ATL"
"6013","MIA","BOS"
"6015","MIA","BWI"
"6022","MIA","CLT"
"6030","MIA","DCA"
"6031","MIA","DEN"
"6032","MIA","DFW"
"6033","MIA","DTW"
"6050","MIA","IAD"
"6051","MIA","IAH"
"6054","MIA","JFK"
"6056","MIA","LAS"
"6057","MIA","LAX"
"6068","MIA","MCO"
"6074","MIA","MSP"
"6079","MIA","ORD"
"6082","MIA","PHL"
"6083","MIA","PHX"
"6097","MIA","SAN"
"6102","MIA","SEA"
"6103","MIA","SFO"
"6115","MIA","TPA"
"6141","MSP","CLT"
"6142","MSP","DCA"
"6143","MSP","DFW"
"6144","MSP","MIA"
"6145","MSP","ORD"
"6146","MSP","PHL"
"6147","MSP","PHX"
"6231","ORD","ATL"
"6238","ORD","BOS"
"6240","ORD","BWI"
"6246","ORD","CLT"
"6255","ORD","DCA"
"6256","ORD","DEN"
"6257","ORD","DFW"
"6260","ORD","DTW"
"6268","ORD","FLL"
"6277","ORD","IAH"
"6281","ORD","JFK"
"6282","ORD","LAS"
"6283","ORD","LAX"
"6293","ORD","MCO"
"6298","ORD","MIA"
"6303","ORD","MSP"
"6309","ORD","PDX"
"6311","ORD","PHL"
"6312","ORD","PHX"
"6324","ORD","SAN"
"6327","ORD","SEA"
"6328","ORD","SFO"
"6333","ORD","SLC"
"6339","ORD","TPA"
"6373","PDX","BOS"
"6375","PDX","CLT"
"6376","PDX","DCA"
"6377","PDX","DFW"
"6378","PDX","LAX"
"6382","PDX","ORD"
"6383","PDX","PHL"
"6384","PDX","PHX"
"6385","PDX","SAN"
"6386","PDX","SFO"
"6404","PHL","ATL"
"6415","PHL","BOS"
"6419","PHL","BWI"
"6426","PHL","CLT"
"6431","PHL","DCA"
"6432","PHL","DEN"
"6433","PHL","DFW"
"6435","PHL","DTW"
"6441","PHL","FLL"
"6449","PHL","IAH"
"6456","PHL","LAS"
"6457","PHL","LAX"
"6465","PHL","MCO"
"6468","PHL","MIA"
"6470","PHL","MSP"
"6475","PHL","ORD"
"6478","PHL","PDX"
"6480","PHL","PHX"
"6491","PHL","SAN"
"6498","PHL","SEA"
"6499","PHL","SFO"
"6501","PHL","SLC"
"6508","PHL","TPA"
"6519","PHX","ATL"
"6523","PHX","BOS"
"6525","PHX","BWI"
"6526","PHX","CLT"
"6529","PHX","DCA"
"6530","PHX","DEN"
"6531","PHX","DFW"
"6534","PHX","DTW"
"6539","PHX","FLL"
"6544","PHX","IAH"
"6546","PHX","JFK"
"6548","PHX","LAS"
"6549","PHX","LAX"
"6554","PHX","MCO"
"6556","PHX","MIA"
"6559","PHX","MSP"
"6565","PHX","ORD"
"6566","PHX","PDX"
"6567","PHX","PHL"
"6572","PHX","SAN"
"6576","PHX","SEA"
"6577","PHX","SFO"
"6580","PHX","SLC"
"6584","PHX","TPA"
"6694","SAN","BOS"
"6695","SAN","CLT"
"6696","SAN","DCA"
"6697","SAN","DFW"
"6698","SAN","JFK"
"6699","SAN","LAX"
"6701","SAN","MCO"
"6702","SAN","MIA"
"6704","SAN","ORD"
"6705","SAN","PDX"
"6706","SAN","PHL"
"6707","SAN","PHX"
"6709","SAN","SEA"
"6742","SEA","BOS"
"6744","SEA","CLT"
"6745","SEA","DEN"
"6746","SEA","DFW"
"6748","SEA","JFK"
"6750","SEA","LAX"
"6754","SEA","MCO"
"6755","SEA","MIA"
"6758","SEA","ORD"
"6760","SEA","PHL"
"6761","SEA","PHX"
"6762","SEA","SAN"
"6763","SEA","SFO"
"6769","SFO","CLT"
"6770","SFO","DFW"
"6773","SFO","JFK"
"6774","SFO","LAX"
"6776","SFO","MIA"
"6777","SFO","ORD"
"6778","SFO","PDX"
"6779","SFO","PHL"
"6780","SFO","PHX"
"6783","SFO","SEA"
"6825","SLC","CLT"
"6826","SLC","DFW"
"6827","SLC","LAX"
"6828","SLC","ORD"
"6829","SLC","PHL"
"6830","SLC","PHX"
"6901","TPA","CLT"
"6902","TPA","DCA"
"6903","TPA","DFW"
"6904","TPA","JFK"
"6906","TPA","MIA"
"6907","TPA","ORD"
"6908","TPA","PHL"
"6909","TPA","PHX"
"7816","ATL","DEN"
"7869","DEN","ATL"
"9030","ATL","BOS"
"9036","ATL","BWI"
"9056","ATL","DCA"
"9061","ATL","DTW"
"9072","ATL","FLL"
"9088","ATL","IAD"
"9089","ATL","IAH"
"9095","ATL","JFK"
"9096","ATL","LAS"
"9097","ATL","LAX"
"9106","ATL","MCO"
"9108","ATL","MDW"
"9132","ATL","PDX"
"9147","ATL","SAN"
"9152","ATL","SEA"
"9153","ATL","SFO"
"9158","ATL","SLC"
"9166","ATL","TPA"
"9229","BOS","ATL"
"9245","BWI","ATL"
"9462","DCA","ATL"
"9477","DTW","ATL"
"9527","FLL","ATL"
"9578","IAD","ATL"
"9580","IAH","ATL"
"9593","JFK","ATL"
"9620","LAS","ATL"
"9621","LAX","ATL"
"9623","LAX","MSP"
"9709","MCO","ATL"
"9712","MDW","ATL"
"9765","MSP","LAX"
"9768","MSP","SEA"
"9769","MSP","SFO"
"9874","PDX","ATL"
"9926","SAN","ATL"
"9934","SEA","ATL"
"9938","SFO","ATL"
"9950","SLC","ATL"
"10003","TPA","ATL"
"11620","DCA","SEA"
"11630","DTW","PDX"
"11631","DTW","SAN"
"11646","FLL","SEA"
"11667","IAH","SEA"
"11693","LAS","PDX"
"11694","LAS","SEA"
"11776","MSP","SAN"
"11822","PDX","DTW"
"11827","PDX","LAS"
"11843","PDX","SEA"
"11846","PDX","SLC"
"11886","SAN","DTW"
"11894","SAN","MSP"
"11901","SAN","SLC"
"11921","SEA","DCA"
"11930","SEA","FLL"
"11934","SEA","IAH"
"11939","SEA","LAS"
"11948","SEA","MSP"
"11954","SEA","PDX"
"11967","SEA","SLC"
"12010","SLC","PDX"
"12011","SLC","SAN"
"12012","SLC","SEA"
"13917","BOS","BWI"
"13922","BOS","DEN"
"13924","BOS","DTW"
"13927","BOS","FLL"
"13929","BOS","IAD"
"13932","BOS","LAS"
"13935","BOS","MCO"
"13953","BOS","SFO"
"13959","BOS","TPA"
"13967","BWI","BOS"
"13982","DEN","BOS"
"13983","DEN","JFK"
"13986","DTW","BOS"
"14007","FLL","BOS"
"14012","FLL","JFK"
"14014","FLL","LAX"
"14028","FLL","SFO"
"14040","IAD","BOS"
"14042","IAD","JFK"
"14063","JFK","DEN"
"14065","JFK","FLL"
"14068","JFK","IAD"
"14086","JFK","PDX"
"14104","JFK","SLC"
"14115","LAS","BOS"
"14120","LAX","FLL"
"14148","MCO","BOS"
"14194","PDX","JFK"
"14240","SFO","BOS"
"14242","SFO","FLL"
"14266","SLC","JFK"
"14286","TPA","BOS"
"17622","IAH","SFO"
"20352","BOS","MSP"
"20358","BOS","SLC"
"20379","BWI","DTW"
"20381","BWI","MSP"
"20383","BWI","SLC"
"20541","DCA","SLC"
"20544","DEN","DTW"
"20548","DEN","MSP"
"20549","DEN","SLC"
"20593","DTW","BWI"
"20610","DTW","DEN"
"20618","DTW","FLL"
"20629","DTW","IAD"
"20630","DTW","IAH"
"20635","DTW","JFK"
"20637","DTW","LAS"
"20638","DTW","LAX"
"20646","DTW","MCO"
"20648","DTW","MDW"
"20657","DTW","MSP"
"20691","DTW","SEA"
"20692","DTW","SFO"
"20694","DTW","SLC"
"20698","DTW","TPA"
"20749","FLL","DTW"
"20752","FLL","MSP"
"20853","IAD","DTW"
"20858","IAD","MSP"
"20864","IAH","DTW"
"20868","IAH","MSP"
"20870","IAH","SLC"
"20942","JFK","DTW"
"20963","JFK","MSP"
"20973","JFK","PHL"
"21020","LAS","DTW"
"21026","LAS","MCO"
"21029","LAS","MSP"
"21033","LAS","SLC"
"21050","LAX","DTW"
"21092","LAX","TPA"
"21220","MCO","DTW"
"21226","MCO","LAS"
"21235","MCO","MSP"
"21244","MCO","SLC"
"21250","MDW","DTW"
"21251","MDW","MSP"
"21356","MSP","BOS"
"21359","MSP","BWI"
"21371","MSP","DEN"
"21376","MSP","DTW"
"21380","MSP","FLL"
"21391","MSP","IAD"
"21392","MSP","IAH"
"21399","MSP","JFK"
"21401","MSP","LAS"
"21410","MSP","MCO"
"21411","MSP","MDW"
"21425","MSP","PDX"
"21446","MSP","SLC"
"21451","MSP","TPA"
"21568","PDX","MSP"
"21579","PHL","JFK"
"21730","SEA","DTW"
"21751","SFO","DTW"
"21758","SFO","MSP"
"21762","SFO","SLC"
"21787","SLC","BOS"
"21790","SLC","BWI"
"21801","SLC","DCA"
"21802","SLC","DEN"
"21804","SLC","DTW"
"21818","SLC","IAH"
"21823","SLC","LAS"
"21828","SLC","MCO"
"21833","SLC","MSP"
"21855","SLC","SFO"
"21912","TPA","DTW"
"21915","TPA","LAX"
"21917","TPA","MSP"
"24348","DCA","DEN"
"24366","DEN","DCA"
"24373","DEN","FLL"
"24378","DEN","IAH"
"24381","DEN","LAS"
"24387","DEN","MCO"
"24389","DEN","MDW"
"24398","DEN","PDX"
"24405","DEN","SAN"
"24408","DEN","SFO"
"24414","DEN","TPA"
"24424","FLL","DEN"
"24433","IAH","DEN"
"24443","LAS","DEN"
"24456","MCO","DEN"
"24462","MDW","DEN"
"24477","PDX","DEN"
"24502","SAN","DEN"
"24505","SFO","DEN"
"24518","TPA","DEN"
"24937","BOS","MDW"
"24957","BWI","DEN"
"24959","BWI","FLL"
"24963","BWI","LAS"
"24964","BWI","LAX"
"24966","BWI","MCO"
"24967","BWI","MDW"
"24981","BWI","SAN"
"24987","BWI","TPA"
"25000","CLT","MDW"
"25039","DEN","BWI"
"25081","FLL","BWI"
"25123","IAD","DEN"
"25124","IAD","MDW"
"25125","IAD","TPA"
"25147","LAS","BWI"
"25152","LAS","MDW"
"25159","LAS","SAN"
"25165","LAS","TPA"
"25171","LAX","MDW"
"25217","MCO","BWI"
"25226","MCO","MDW"
"25248","MDW","BOS"
"25250","MDW","BWI"
"25253","MDW","CLT"
"25262","MDW","IAD"
"25265","MDW","LAS"
"25266","MDW","LAX"
"25271","MDW","MCO"
"25281","MDW","PDX"
"25282","MDW","PHL"
"25283","MDW","PHX"
"25290","MDW","SAN"
"25293","MDW","SEA"
"25294","MDW","SFO"
"25296","MDW","SLC"
"25299","MDW","TPA"
"25387","PDX","MDW"
"25395","PHL","MDW"
"25442","SAN","BWI"
"25445","SAN","LAS"
"25470","SEA","BWI"
"25473","SEA","MDW"
"25482","SFO","MDW"
"25497","SLC","MDW"
"25544","TPA","BWI"
"25554","TPA","MDW"
"25557","TPA","PDX"
"25563","TPA","SEA"
"30662","LAS","SFO"
"30689","SFO","LAS"
"43417","FLL","LAS"
"43448","IAH","LAS"
"43450","IAH","MCO"
"43458","LAS","FLL"
"43459","LAS","IAH"
"43488","MCO","IAH"
"55884","BOS","IAH"
"55930","BWI","IAH"
"55933","BWI","SFO"
"56073","DCA","IAH"
"56075","DCA","SFO"
"56134","DEN","IAD"
"56450","FLL","IAD"
"56451","FLL","IAH"
"56631","IAD","FLL"
"56642","IAD","IAH"
"56648","IAD","LAS"
"56656","IAD","MCO"
"56667","IAD","ORD"
"56669","IAD","PDX"
"56671","IAD","PHL"
"56672","IAD","PHX"
"56682","IAD","SAN"
"56687","IAD","SEA"
"56688","IAD","SFO"
"56720","IAH","BOS"
"56723","IAH","BWI"
"56741","IAH","DCA"
"56750","IAH","FLL"
"56767","IAH","IAD"
"56813","IAH","PDX"
"56829","IAH","SAN"
"56849","IAH","TPA"
"56945","LAS","IAD"
"56960","LAX","BWI"
"57095","MCO","IAD"
"57103","MCO","SFO"
"57314","ORD","IAD"
"57432","PDX","IAD"
"57433","PDX","IAH"
"57453","PHL","IAD"
"57461","PHX","IAD"
"57578","SAN","IAD"
"57579","SAN","IAH"
"57582","SAN","SFO"
"57617","SEA","IAD"
"57635","SFO","BWI"
"57642","SFO","DCA"
"57653","SFO","IAD"
"57654","SFO","IAH"
"57666","SFO","MCO"
"57694","SFO","SAN"
"57806","TPA","IAD"
"57807","TPA","IAH"
"63633","BWI","SEA"
"63802","FLL","MDW"
"64097","MDW","FLL"
"64287","PHX","MDW"
"64381","SAN","MDW"
"64534","TPA","LAS"
